event_id	event_type	avecost	Lscore	CNval	true	length	prevals	orders	numhists
10044.2	amp	-1	0.0229873569537	2.0	0	200000	-1,1.0,0.0	-1,5.36956521739,2.1514271871	460
91664.8	oth	-1	4.99725151167e-05	1.0	0	500000	-1,1.0,0.0	-1,8.0,0.0	1
21204.5	oth	-1	0.000499725151167	1.0	0	100000	-1,1.0,0.0	-1,6.7,1.1874342087	10
40991.7	oth	-1	4.99725151167e-05	2.0	0	100000	-1,1.0,0.0	-1,7.0,0.0	1
31247.9	amp	-1	0.000249862575583	1.0	0	100000	-1,1.0,0.0	-1,6.6,2.33238075794	5
40635.6	amp	-1	9.99450302334e-05	2.0	0	100000	-1,1.0,0.0	-1,6.5,0.5	2
11353.8	oth	-1	0.00409774623957	1.0	0	100000	-1,1.0,0.0	-1,6.48780487805,1.79595685781	82
11354.6	oth	-1	0.000699615211634	2.0	0	100000	-1,1.0,0.0	-1,5.64285714286,2.19112309288	14
11628.2	oth	-1	0.00349807605817	1.0	0	100000	-1,1.0,0.0	-1,6.21428571429,1.56655087139	70
11629.8	oth	-1	0.000399780120933	2.0	0	100000	-1,1.0,0.0	-1,6.375,1.86664806538	8
10403.2	oth	-1	0.000249862575583	2.0	0	100000	-1,1.0,0.0	-1,7.2,2.63818119165	5
10404.7	oth	-1	4.99725151167e-05	3.0	0	100000	-1,1.0,0.0	-1,7.0,0.0	1
20148.8	oth	-1	4.99725151167e-05	3.0	0	200000	-1,1.0,0.0	-1,8.0,0.0	1
11010.5	del	-1	0.000549697666284	2.0	0	699999	-1,1.0,0.0	-1,6.09090909091,1.23983469973	11
21942.6	del	-1	9.99450302334e-05	3.0	0	699999	-1,1.0,0.0	-1,7.0,1.0	2
0.3	amp	1.67567567568	0.00554694917795	1.0	1	100000	1.0,1.0,0.0	3.0,4.92792792793,2.26891136221	111
10173.8	amp	-1	0.0086952176303	2.0	0	100000	-1,1.0,0.0	-1,4.87931034483,2.36408169973	174
10000.5	amp	-1	0.35755334566	3.0	0	100000	-1,1.0,0.0	-1,4.75960866527,2.45884438505	7155
10015.3	amp	-1	0.071960421768	4.0	0	100000	-1,1.0,0.0	-1,4.51527777778,2.11372234342	1440
10019.2	amp	-1	0.516665833791	5.0	0	100000	-1,1.0,0.0	-1,4.11306702776,2.29367319163	10339
50030.9	amp	-1	0.000499725151167	6.0	0	100000	-1,1.0,0.0	-1,6.1,2.11896201004	10
10011.9	amp	-1	0.0035980210884	1.0	0	100000	-1,1.0,0.0	-1,5.94444444444,2.42033565675	72
10010.7	amp	-1	0.0107440907501	2.0	0	100000	-1,1.0,0.0	-1,5.65581395349,2.19781099613	215
11129.3	amp	-1	0.000499725151167	5.0	0	100000	-1,1.0,0.0	-1,3.2,1.46969384567	10
10591.4	amp	-1	0.00369796611863	1.0	0	100000	-1,1.0,0.0	-1,5.72972972973,2.06840647175	74
10379.7	amp	-1	0.00824546499425	2.0	0	100000	-1,1.0,0.0	-1,5.40606060606,2.314373977	165
